Frequency,Magnitude,Phase
216,6.69545e-13,0.526828
217,6.51378e-13,0.516977
218,6.1115e-13,0.542171
219,6.04664e-13,0.523267
220,5.99354e-13,0.529037
221,5.76104e-13,0.536519
222,5.64151e-13,0.489903
223,5.48817e-13,0.542307
224,5.22363e-13,0.521373
225,5.07892e-13,0.530443
226,4.8779e-13,0.521757
227,4.80311e-13,0.5401
228,4.66923e-13,0.553873
229,4.39726e-13,0.573289
230,4.46195e-13,0.519557
231,4.20848e-13,0.55647
232,4.24191e-13,0.527966
233,3.959e-13,0.550037
234,3.91738e-13,0.562607
235,3.84949e-13,0.564604
236,3.80123e-13,0.533243
237,3.55218e-13,0.612386
238,3.5592e-13,0.565539
239,3.39612e-13,0.591295
240,3.38488e-13,0.614956
241,3.18885e-13,0.522849
242,3.13667e-13,0.604681
243,3.12973e-13,0.574113
244,2.75996e-13,0.590953
245,2.83668e-13,0.58489
246,2.79104e-13,0.603996
247,3.01574e-13,0.633465
248,2.83728e-13,0.620102
249,2.5968e-13,0.649547
250,2.48879e-13,0.619724
251,2.43948e-13,0.657339
252,2.35319e-13,0.619846
253,2.45823e-13,0.595542
254,2.22254e-13,0.600546
255,2.14543e-13,0.598335
256,2.17842e-13,0.644434
257,1.94009e-13,0.601393
258,2.15715e-13,0.689065
259,2.18415e-13,0.665769
260,1.8562e-13,0.68909
261,1.86692e-13,0.648761
262,1.86219e-13,0.744466
263,1.92019e-13,0.592685
264,1.7232e-13,0.542184
265,1.69677e-13,0.679631
266,1.4822e-13,0.706525
267,1.51828e-13,0.645227
268,1.60058e-13,0.676523
269,1.62924e-13,0.744015
270,1.43916e-13,0.649847
271,1.4846e-13,0.724537
272,1.44107e-13,0.675966
273,1.37982e-13,0.651987
274,1.39573e-13,0.596998
275,1.42841e-13,0.700777
276,1.36332e-13,0.819329
277,1.17133e-13,0.755855
278,1.23418e-13,0.568391
279,1.09556e-13,0.797003
280,1.16616e-13,0.686191
281,1.14413e-13,0.594284
282,1.07363e-13,0.766999
283,1.15839e-13,0.617702
284,9.80613e-14,0.761173
285,8.70758e-14,0.454788
286,9.90618e-14,0.775534
287,1.14233e-13,0.794545
288,8.46626e-14,0.666062
289,1.03209e-13,0.589335
290,9.00046e-14,0.613328
291,9.12034e-14,0.696889
292,1.00492e-13,0.640081
293,8.57067e-14,0.727246
294,8.60462e-14,0.696944
295,8.12755e-14,0.785595
296,6.62604e-14,0.73857
297,7.13243e-14,0.892139
298,7.82144e-14,0.848173
299,5.81039e-14,0.971399
300,7.72681e-14,0.774889
301,8.13016e-14,0.861187
302,6.93339e-14,0.746264
303,9.27075e-14,0.937342
304,7.69074e-14,0.647574
305,7.34524e-14,0.783758
306,5.48667e-14,0.772234
307,4.86001e-14,0.867629
308,4.14722e-14,0.863686
309,6.35562e-14,0.786738
310,6.81386e-14,0.901992
311,6.16083e-14,0.637827
312,4.7872e-14,0.883145
313,5.48063e-14,0.950258
314,3.68173e-14,1.01728
315,5.34615e-14,0.792065
316,4.78965e-14,0.581564
317,4.56326e-14,0.795242
318,4.25911e-14,0.947995
319,3.31876e-14,0.443889
320,4.9145e-14,0.9061
321,4.73867e-14,1.03753
322,2.34345e-14,0.772943
323,3.847e-14,0.85048
324,4.14634e-14,0.918156
325,4.14429e-14,0.449263
326,6.15436e-14,1.28294
327,3.26909e-14,0.955567
328,2.47991e-14,0.626696
329,5.00649e-14,1.19133
330,5.2805e-14,1.61083
331,4.46873e-14,1.06117
332,5.66291e-14,1.24679
333,4.31397e-14,0.554684
334,4.40865e-14,0.743323
335,2.83106e-14,0.291125
336,3.37264e-14,0.956535
337,2.7032e-14,-2.99147
338,1.08457e-14,-2.96779
339,2.28894e-14,0.791822
340,3.24189e-14,0.848981
341,4.02416e-14,0.352807
342,4.0402e-14,1.11574
343,2.50012e-14,0.372118
344,4.42101e-14,0.477565
345,3.26713e-14,0.973373
346,2.68394e-14,1.09599
347,9.86673e-15,1.1874
348,1.05537e-13,0.234474
349,5.38953e-14,0.725437
350,1.86243e-14,0.422336
351,4.23055e-14,0.561275
352,2.36988e-14,0.952043
353,2.16255e-14,1.59788
354,4.05682e-14,1.13665
355,3.23381e-14,3.07711
356,1.77745e-14,2.16951
357,5.08025e-14,1.47615
358,1.8034e-14,0.648715
359,6.90876e-14,0.74957
360,2.8346e-14,0.737597
361,2.23659e-14,1.115
362,2.20718e-14,0.560832
363,2.36823e-14,1.28282
364,1.36352e-14,1.91033
365,3.13624e-14,0.967858
366,5.46881e-15,-0.895155
367,3.67771e-14,1.08026
368,2.02431e-14,1.88641
369,3.46707e-14,2.75024
370,2.8476e-14,0.376292
371,2.87442e-14,3.06045
372,5.03226e-14,2.4506
373,1.97791e-14,1.14862
374,2.34889e-14,0.283891
375,2.10622e-14,-1.7008
376,1.77193e-14,2.07551
377,5.28467e-14,1.30074
378,4.401e-14,1.43913
379,2.75554e-14,1.93958
380,6.27503e-15,0.66162
381,1.48361e-14,-0.670599
382,1.13119e-14,-1.21999
383,3.16782e-14,1.06091
384,2.88572e-15,2.10325
385,1.74374e-14,1.53565
386,4.20835e-14,0.206193
387,2.95807e-14,1.11425
388,8.96335e-15,0.505842
389,1.29018e-14,-0.44992
390,4.26752e-15,2.96414
391,3.28573e-14,1.60475
392,1.25464e-14,-1.59183
393,1.93537e-14,-0.540234
394,9.11871e-15,0.591234
395,2.10989e-14,-2.27668
396,1.49017e-14,-2.12433
397,4.26288e-14,1.82427
398,3.76458e-14,1.63546
399,3.63858e-14,-0.555837
400,4.01851e-14,-0.687909
401,2.91814e-14,0.829635
402,2.26297e-14,2.72232
403,1.90459e-14,1.95369
404,1.47206e-14,-1.16978
405,9.055e-15,2.22505
406,1.15104e-14,1.12646
407,1.46955e-15,1.76964
408,6.31435e-15,0.804993
409,1.06736e-14,0.166967
410,1.29667e-14,2.09035
411,3.77491e-14,1.0363
412,3.82282e-14,-0.997258
413,3.90263e-14,-1.8913
414,1.50783e-14,0.890104
415,4.25319e-14,0.396378
416,1.64436e-14,-1.97736
417,1.47086e-14,-1.34004
418,4.77596e-14,0.563279
419,3.7148e-14,0.58725
420,4.30766e-15,1.57396
421,3.5859e-14,2.77954
422,1.28033e-14,-2.68374
423,2.58879e-14,2.64829
424,3.95447e-14,0.84136
425,1.82061e-14,-0.595759
426,7.08968e-15,1.29453
427,3.00618e-14,-1.47967
428,3.21121e-14,-0.730278
429,1.56587e-14,0.595986
430,1.26583e-14,0.575368
431,1.75623e-15,-2.61203
432,4.09529e-15,-0.883111
433,2.29761e-14,-0.228084
434,5.44785e-14,0.946158
435,2.0763e-14,2.03975
436,1.41049e-14,-1.87499
437,8.51746e-15,2.04335
438,2.29849e-14,-0.901557
439,1.03849e-14,1.88858
440,1.63024e-14,-1.49341
441,3.50203e-14,2.79081
442,3.04049e-14,2.89482
443,1.03061e-14,2.22343
444,3.07965e-14,0.902228
445,2.6376e-14,-0.931309
446,4.02891e-14,-1.85841
447,3.4206e-14,2.59816
448,2.47181e-14,0.120769
449,3.35687e-14,0.890478
450,2.05102e-14,-3.0784
451,6.57925e-15,-2.01274
452,1.16044e-14,1.88712
453,7.52111e-15,1.62043
454,2.87019e-15,-2.54006
455,2.48201e-14,-2.03184
456,4.13841e-14,-3.12919
457,2.4402e-14,-2.13696
458,1.90483e-14,-2.82124
459,2.42377e-14,-1.00498
460,2.84455e-14,1.48755
461,1.02989e-14,0.497502
462,4.27882e-14,1.29469
463,8.41143e-15,-0.786446
464,3.25902e-14,-1.72326
465,3.19614e-14,-1.30837
466,2.74147e-14,-0.643617
467,1.40769e-14,0.162266
468,5.618e-15,1.19673
469,9.27803e-15,-1.37334
470,6.52009e-15,1.8908
471,3.32947e-14,1.54195
472,9.11752e-15,-3.02142
473,2.78344e-14,-3.08905
474,8.53801e-15,-1.51654
475,1.00666e-14,-0.636171
476,2.45352e-15,1.58583
477,1.68627e-14,0.715132
478,4.52837e-14,-0.570837
479,5.77472e-15,-2.36787
