Frequency,Magnitude,Phase
0,2.05814e-12,3.14102
0.1,2.7999e-12,2.40321
0.2,4.31201e-12,2.07798
0.3,6.04537e-12,1.93252
0.4,7.85449e-12,1.85504
0.5,9.69863e-12,1.80856
0.6,1.15604e-11,1.77842
0.7,1.3435e-11,1.75802
0.8,1.53176e-11,1.74377
0.9,1.72064e-11,1.73368
1,1.91011e-11,1.72648
1.1,2.09998e-11,1.72141
1.2,2.29053e-11,1.71805
1.3,2.48143e-11,1.71589
1.4,2.67281e-11,1.71468
1.5,2.86465e-11,1.71428
1.6,3.05699e-11,1.7145
1.7,3.24989e-11,1.71529
1.8,3.44324e-11,1.71646
1.9,3.63716e-11,1.71803
2,3.83186e-11,1.71992
2.1,4.02675e-11,1.72205
2.2,4.22229e-11,1.72448
2.3,4.41882e-11,1.727
2.4,4.61585e-11,1.72975
2.5,4.81361e-11,1.73266
2.6,5.01206e-11,1.73571
2.7,5.21132e-11,1.73887
2.8,5.41138e-11,1.74215
2.9,5.6121e-11,1.74551
3,5.81391e-11,1.74897
3.1,6.01641e-11,1.75249
3.2,6.21988e-11,1.75608
3.3,6.42428e-11,1.75975
3.4,6.62967e-11,1.76346
3.5,6.83597e-11,1.76722
3.6,7.04346e-11,1.77105
3.7,7.2519e-11,1.7749
3.8,7.46151e-11,1.7788
3.9,7.67219e-11,1.78273
4,7.88404e-11,1.7867
4.1,8.09702e-11,1.79068
4.2,8.31134e-11,1.79471
4.3,8.52688e-11,1.79876
4.4,8.74372e-11,1.80282
4.5,8.96186e-11,1.80691
4.6,9.18138e-11,1.81102
4.7,9.40225e-11,1.81514
4.8,9.62459e-11,1.81928
4.9,9.84841e-11,1.82343
5,1.00738e-10,1.8276
5.1,1.03006e-10,1.83179
5.2,1.05291e-10,1.83598
5.3,1.07593e-10,1.84018
5.4,1.09908e-10,1.84438
5.5,1.12241e-10,1.8486
5.6,1.14593e-10,1.85283
5.7,1.16961e-10,1.85704
5.8,1.19348e-10,1.86129
5.9,1.21752e-10,1.86553
6,1.24178e-10,1.86978
6.1,1.26622e-10,1.87403
6.2,1.29083e-10,1.87826
6.3,1.31567e-10,1.88253
6.4,1.3407e-10,1.88679
6.5,1.36595e-10,1.89105
6.6,1.39141e-10,1.89529
6.7,1.41709e-10,1.89957
6.8,1.44298e-10,1.90383
6.9,1.46911e-10,1.90809
7,1.49546e-10,1.91235
7.1,1.52206e-10,1.91661
7.2,1.54888e-10,1.92087
7.3,1.57596e-10,1.92513
7.4,1.60329e-10,1.92939
7.5,1.63088e-10,1.93364
7.6,1.65872e-10,1.93789
7.7,1.68683e-10,1.94214
7.8,1.7152e-10,1.94638
7.9,1.74385e-10,1.95063
8,1.77278e-10,1.95487
8.1,1.80199e-10,1.95911
8.2,1.8315e-10,1.96334
8.3,1.8613e-10,1.96757
8.4,1.89141e-10,1.97179
8.5,1.92182e-10,1.97601
8.6,1.95254e-10,1.98023
8.7,1.98358e-10,1.98444
8.8,2.01494e-10,1.98865
8.9,2.04665e-10,1.99285
9,2.07867e-10,1.99704
9.1,2.11104e-10,2.00124
9.2,2.14376e-10,2.00542
9.3,2.17684e-10,2.0096
9.4,2.21028e-10,2.01377
9.5,2.24409e-10,2.01794
9.6,2.27826e-10,2.0221
9.7,2.31283e-10,2.02626
9.8,2.34776e-10,2.03041
9.9,2.38311e-10,2.03455
10,2.41885e-10,2.03869
10.1,2.455e-10,2.04282
10.2,2.49156e-10,2.04694
10.3,2.52855e-10,2.05106
10.4,2.56598e-10,2.05517
10.5,2.60383e-10,2.05927
10.6,2.64213e-10,2.06337
10.7,2.6809e-10,2.06746
10.8,2.72011e-10,2.07154
10.9,2.75981e-10,2.07561
11,2.79997e-10,2.07968
11.1,2.84062e-10,2.08374
11.2,2.88177e-10,2.08779
11.3,2.92342e-10,2.09184
11.4,2.96559e-10,2.09587
11.5,3.00828e-10,2.0999
11.6,3.0515e-10,2.10392
11.7,3.09525e-10,2.10794
11.8,3.13957e-10,2.11194
11.9,3.18443e-10,2.11594
12,3.22988e-10,2.11992
12.1,3.27588e-10,2.12391
12.2,3.32249e-10,2.12788
12.3,3.3697e-10,2.13185
12.4,3.4175e-10,2.13581
12.5,3.46594e-10,2.13976
12.6,3.51501e-10,2.1437
12.7,3.56472e-10,2.14763
12.8,3.6151e-10,2.15155
12.9,3.66613e-10,2.15547
13,3.71784e-10,2.15938
13.1,3.77024e-10,2.16328
13.2,3.82334e-10,2.16716
13.3,3.87717e-10,2.17105
