Frequency,Magnitude,Phase
-496.56,4.86125e-11,1.44755
-496.54,1.54334e-10,-3.03296
-496.52,1.52454e-10,0.712747
-496.5,3.32622e-11,1.3941
-496.48,5.58083e-11,-2.51177
-496.46,2.08181e-10,1.3458
-496.44,5.66555e-11,-0.0255328
-496.42,4.09655e-10,0.729743
-496.4,9.47977e-11,2.22774
-496.38,4.43512e-11,2.43705
-496.36,9.143e-11,1.91127
-496.34,4.76486e-11,-0.456646
-496.32,7.13892e-11,2.81031
-496.3,4.52206e-12,-0.150657
-496.28,1.2748e-11,1.18861
-496.26,1.04221e-10,0.18694
-496.24,5.39992e-11,2.27196
-496.22,4.85322e-11,1.91854
-496.2,9.00852e-11,-2.01073
-496.18,2.4117e-10,-0.748379
-496.16,3.64438e-11,-0.504043
-496.14,1.03084e-10,2.18923
-496.12,1.94205e-10,-1.74713
-496.1,1.27115e-10,-1.82613
-496.08,1.33443e-10,-2.90582
-496.06,1.54062e-10,-0.510473
-496.04,4.00709e-11,1.76561
-496.02,1.23449e-10,1.02406
-496,1.4016e-11,2.1007
-495.98,7.42594e-11,0.983237
-495.96,2.19282e-10,-1.14471
-495.94,1.13584e-10,0.615374
-495.92,1.12406e-11,1.92273
-495.9,2.19047e-11,2.15992
-495.88,2.27004e-10,-0.339367
-495.86,3.10401e-11,1.21793
-495.84,8.73612e-11,-1.54898
-495.82,1.76296e-11,1.9663
-495.8,3.15797e-11,2.89942
-495.78,3.90811e-11,0.81827
-495.76,2.3277e-10,-0.941462
-495.74,5.72148e-11,2.10034
-495.72,1.55032e-10,-0.888893
-495.7,3.90581e-10,1.07592
-495.68,7.20921e-11,-0.38036
-495.66,7.11847e-11,0.234757
-495.64,7.30093e-11,-2.32358
-495.62,3.87471e-11,0.704173
-495.6,1.75173e-11,-2.60238
-495.58,2.93015e-11,2.84627
-495.56,1.81538e-11,-1.47908
-495.54,3.57064e-11,-1.48198
-495.52,5.80409e-11,2.93376
-495.5,9.52477e-11,0.517864
-495.48,3.54389e-11,2.97543
-495.46,2.61264e-10,-0.0912474
-495.44,2.25121e-11,0.517046
-495.42,7.8789e-11,1.09068
-495.4,1.69825e-10,2.66281
-495.38,1.02744e-11,2.8442
-495.36,4.80976e-11,2.45494
-495.34,9.74292e-11,-2.05445
-495.32,3.3772e-11,-2.64008
-495.3,2.09777e-10,0.114912
-495.28,1.23594e-11,2.91294
-495.26,1.81419e-11,-0.568885
-495.24,3.03489e-10,-3.12568
-495.22,1.16208e-10,-0.172918
-495.2,6.10593e-11,-0.652028
-495.18,1.02661e-10,-3.00592
-495.16,5.13857e-11,-1.25887
-495.14,4.0839e-11,2.25225
-495.12,2.86066e-10,-2.63714
-495.1,1.37367e-10,0.541256
-495.08,2.70707e-10,-2.62277
-495.06,9.0601e-11,-2.8969
-495.04,7.13559e-12,-2.62913
-495.02,3.01797e-10,-0.026568
-495,4.48793e-11,1.57834
-494.98,4.85372e-11,2.81238
-494.96,3.19845e-11,1.48983
-494.94,2.7463e-11,-1.60688
-494.92,5.31892e-11,-3.04358
-494.9,2.29057e-10,-3.1216
-494.88,5.08544e-11,1.27885
-494.86,7.86999e-11,1.90723
-494.84,1.35229e-10,-1.01092
-494.82,9.63833e-12,0.64181
-494.8,5.45636e-11,-3.04404
-494.78,3.34114e-11,-2.9398
-494.76,2.91223e-09,0.480942
-494.74,4.14617e-11,1.30209
-494.72,2.4439e-11,-0.277968
-494.7,8.56117e-11,0.262112
-494.68,1.40713e-11,0.0927357
-494.66,9.58385e-11,1.99707
-494.64,1.60331e-10,-1.00899
-494.62,3.77539e-11,-0.713286
-494.6,2.00737e-10,-1.68551
-494.58,5.38758e-10,-1.9571
-494.56,2.43001e-10,2.50823
-494.54,3.72696e-11,2.02203
-494.52,3.06802e-11,-1.88601
-494.5,4.18837e-11,-2.90663
-494.48,6.13642e-11,-2.55774
-494.46,1.26074e-10,1.68165
-494.44,3.02529e-11,1.43422
-494.42,1.71586e-11,2.36954
-494.4,4.30931e-11,-1.41899
-494.38,9.24621e-11,-0.653081
-494.36,1.71122e-10,-1.61247
-494.34,3.9841e-11,1.88413
-494.32,3.64544e-11,-2.09973
-494.3,1.50782e-10,0.899837
-494.28,1.27639e-10,2.58018
-494.26,1.12093e-10,-2.4629
-494.24,7.39783e-11,-2.16318
-494.22,2.6243e-10,2.20126
-494.2,9.92396e-11,1.40733
-494.18,1.53494e-10,2.86148
-494.16,4.76136e-11,-0.566383
-494.14,2.70206e-11,1.26276
-494.12,2.13939e-11,2.15668
-494.1,9.67047e-11,1.73802
