Frequency,Magnitude,Phase
204,4.57764e-11,-3.0492
205,1.86715e-11,2.95152
206,3.38332e-10,-1.95959
207,3.57107e-12,0.808936
208,5.54604e-10,1.84835
209,5.00461e-11,-0.952683
210,1.62998e-11,-1.0153
211,5.88683e-12,0.640671
212,1.99795e-11,2.95489
213,5.31389e-12,3.08385
214,6.88302e-12,2.87235
215,1.29354e-11,2.37434
216,2.14499e-11,0.977389
217,2.58784e-11,-0.864023
218,1.71793e-11,2.22183
219,3.57561e-12,2.83924
220,4.40012e-12,1.47459
221,2.40493e-11,1.92454
222,3.9944e-11,2.1497
223,2.95695e-10,-2.04298
224,8.33709e-12,2.62562
225,5.71269e-12,1.27785
226,6.01532e-11,-2.07023
227,1.15269e-11,-0.820856
228,7.38506e-12,1.71391
229,1.52793e-11,-1.65431
230,4.85922e-11,-2.78257
231,1.76695e-11,-0.403994
232,2.63205e-11,-0.413057
233,1.3804e-11,0.266142
234,2.66701e-11,0.913846
235,1.40516e-12,-2.8176
236,7.36302e-12,-1.70026
237,1.59531e-11,2.78002
238,1.48839e-11,-0.852547
239,5.4618e-10,0.0572516
240,8.36282e-13,-1.03571
241,8.23341e-12,-0.399692
242,9.43728e-12,-1.99907
243,1.8858e-11,2.04935
244,1.31218e-11,3.08171
245,5.59939e-12,-2.43066
246,9.20239e-11,0.684176
247,9.7729e-12,1.27734
248,3.5461e-11,2.19168
249,1.3609e-11,-0.713964
250,1.26384e-11,-1.92153
251,9.08931e-12,-2.53907
252,3.62416e-11,2.47097
253,6.33773e-11,1.98384
254,4.60149e-12,2.71351
255,4.85066e-11,2.4952
256,7.21414e-13,2.19862
257,8.08112e-12,-3.00049
258,8.94524e-12,0.809999
259,3.6116e-12,1.67701
260,7.49805e-12,2.19415
261,7.14936e-12,-2.13089
262,1.34074e-11,-0.975249
263,2.08876e-11,-1.98124
264,1.40888e-11,3.00426
265,8.83834e-12,2.18331
266,3.30781e-12,-1.46909
267,3.84247e-11,-1.05296
268,4.00798e-11,0.0357476
269,9.0261e-13,0.838801
270,1.77118e-11,-0.671186
271,2.04452e-10,1.39882
272,1.21422e-10,0.964818
273,2.9338e-12,-0.442444
274,3.70703e-11,-2.51949
275,1.19065e-11,-0.4181
276,7.57125e-12,-1.72882
277,1.05651e-11,-0.991701
278,2.59305e-12,-1.68744
279,4.38547e-11,-0.117153
280,1.16123e-12,0.221931
281,1.96484e-11,2.96147
282,7.56061e-12,1.70979
283,1.48807e-11,-2.78651
284,7.72442e-12,-1.62956
285,2.34314e-12,0.0518579
286,5.13582e-12,-2.99445
287,2.25255e-11,-1.40959
288,3.59299e-11,-2.60526
289,1.84556e-10,2.77806
290,2.84265e-11,0.419483
291,1.50786e-11,-2.46481
292,7.72613e-12,3.0754
293,4.87301e-12,-1.76143
294,1.67704e-11,-2.10296
295,2.17344e-11,-1.18937
296,9.65257e-12,-2.86327
297,9.42535e-12,2.94369
298,5.16956e-12,-0.81438
299,9.38527e-12,-0.591018
300,1.33926e-11,-1.32528
301,1.71932e-10,0.101438
302,7.78128e-12,-1.71113
303,4.17486e-12,-0.589318
304,1.00647e-11,0.607007
305,5.51716e-11,2.45107
306,4.45659e-12,1.64183
307,2.98727e-12,2.83493
308,1.3306e-11,-1.63025
309,1.10856e-11,1.97608
310,2.58845e-11,-2.95712
311,1.94682e-11,-0.228088
312,1.12988e-11,-0.683575
313,1.87676e-12,-2.0975
314,4.54062e-11,2.18818
315,3.02297e-12,1.62227
316,1.86633e-11,-3.088
317,2.0215e-11,0.0316538
318,8.13415e-12,-0.567635
319,8.52427e-12,2.84796
320,1.39316e-11,-1.0794
321,1.00031e-11,-3.00903
322,6.02042e-12,0.745732
323,3.1565e-11,-0.780123
324,6.83749e-12,0.198827
325,2.77908e-11,1.92431
326,2.06675e-11,0.405619
327,1.56904e-11,1.7818
328,4.51929e-11,2.08893
329,1.07303e-11,1.48939
330,6.26541e-12,1.8833
331,4.11739e-12,-0.354378
332,1.00305e-11,-0.604947
333,7.40122e-12,-0.863263
334,7.81153e-12,-2.40931
335,4.28966e-11,-0.715693
336,1.31388e-11,1.80734
337,2.17961e-12,-0.875759
338,3.11288e-11,0.926228
339,2.08309e-11,2.48166
340,1.65283e-11,1.12927
341,1.68155e-11,2.20407
342,8.69832e-12,1.04318
343,6.67129e-12,0.0820347
344,1.96126e-12,-2.58354
345,1.91071e-11,-2.34611
346,4.89419e-11,-2.42133
347,3.12079e-11,-0.787262
348,1.48749e-12,0.2144
349,7.10344e-11,2.78702
350,1.10745e-11,-2.11638
351,2.88297e-12,0.503967
352,7.21183e-12,-2.77562
353,8.73435e-12,-0.262885
354,2.38893e-11,2.05503
355,2.20077e-11,-2.45823
356,1.01584e-11,2.44544
357,1.48952e-11,2.02429
358,3.28266e-12,-1.88743
359,6.59746e-12,2.10163
360,3.88868e-11,1.56374
361,7.43012e-11,-2.15604
362,7.39883e-12,-2.21325
363,9.12612e-11,-1.67626
364,1.7855e-11,2.90335
365,1.06993e-11,-0.499272
366,4.3157e-12,-0.774253
367,1.1178e-11,2.78832
368,1.23633e-11,0.922383
369,8.62204e-12,-2.75391
370,9.58517e-13,0.676062
371,1.3347e-12,-2.28359
372,3.7607e-12,-3.00242
373,6.43937e-12,-1.02692
374,7.37474e-12,1.78343
375,2.21231e-12,-0.877971
376,7.36083e-12,-0.327369
377,5.91423e-12,-2.26932
378,3.56366e-11,-0.660496
379,1.09124e-11,-1.8259
380,1.67868e-11,-0.683902
381,7.69266e-12,1.23053
382,4.67285e-11,-0.980512
383,3.46229e-11,-1.93993
384,2.09435e-11,-1.69057
385,6.20117e-11,-0.179359
386,3.21255e-10,-1.51611
387,7.59122e-12,-2.29303
388,9.36798e-12,-0.934752
389,5.51932e-12,-2.78806
390,3.00082e-11,-1.85952
391,6.02503e-11,-3.04871
392,8.11925e-12,-0.920823
393,1.38753e-11,-2.9436
394,1.69071e-11,-0.190152
395,4.80325e-12,-2.45492
396,2.66464e-11,-0.953681
397,1.48561e-11,1.95223
398,9.96659e-12,-2.14148
399,1.37132e-11,-0.249032
400,1.04272e-11,-2.38716
401,1.62349e-11,1.04767
402,9.90377e-12,-0.0649236
403,2.30712e-11,1.55488
404,1.51978e-11,2.29985
405,1.01163e-11,-1.10026
406,1.64649e-11,2.58496
407,8.26896e-12,-2.61291
408,1.92399e-11,1.50268
409,5.15018e-12,2.83059
410,5.37472e-12,-2.25889
411,1.05835e-11,-2.26017
412,2.93104e-12,-0.0333919
413,1.75766e-11,1.2105
414,1.47269e-11,-0.0894007
415,1.02313e-11,-1.68006
416,1.39212e-11,1.76221
417,2.52966e-11,-2.01463
418,1.64019e-11,0.353892
419,7.54463e-12,-0.285254
420,8.25969e-12,-2.14746
421,1.84635e-11,-0.176323
422,4.76304e-11,-0.509224
423,8.68413e-12,-3.03756
424,5.08238e-11,-0.156335
425,1.24427e-11,-1.78665
426,5.5216e-12,2.49797
427,9.38557e-12,-1.61696
428,2.78194e-11,1.61158
429,1.04014e-11,-1.29659
430,3.37549e-12,2.4585
431,1.96994e-10,-0.0449979
432,1.49959e-11,0.814662
433,3.62432e-11,1.10787
434,2.5322e-11,1.418
435,6.54768e-12,0.60432
436,1.21165e-11,-0.862952
437,9.82612e-12,0.091
438,7.51935e-12,-0.0274415
439,7.36401e-12,-1.13671
440,3.11357e-12,2.51482
441,5.6656e-11,-3.12792
442,3.08909e-12,1.46916
443,2.80646e-12,-1.18621
444,6.50168e-12,2.09695
445,4.5806e-12,1.52545
446,1.41672e-11,0.069703
447,2.25191e-12,-0.431864
448,1.11101e-11,2.32676
449,8.86027e-12,-2.18384
450,2.96716e-11,0.613864
451,2.42014e-11,0.350977
452,1.32829e-11,-1.3633
453,7.7052e-12,-3.12375
454,3.72332e-11,-2.43045
455,7.14575e-11,-3.06603
456,1.95963e-11,0.707492
457,3.20371e-12,-2.57207
458,1.82106e-11,2.48174
459,6.17123e-12,0.314127
460,1.07551e-11,-0.763823
461,1.76786e-11,-2.59774
462,1.14502e-11,-1.63416
463,1.23503e-11,1.79647
464,1.23989e-11,-2.89031
465,1.44525e-11,1.05356
466,1.26012e-11,-0.136568
467,9.90874e-12,2.21692
468,9.555e-12,1.61086
469,8.84566e-12,-0.94624
470,6.12704e-12,2.96894
471,2.75946e-11,0.415503
472,1.20771e-11,2.71246
473,8.46527e-11,-1.4694
474,1.72984e-11,-2.11157
475,3.29874e-11,-3.02792
476,3.45801e-11,0.204567
477,1.42334e-11,-2.23016
478,4.34442e-11,-2.56699
479,6.43362e-12,0.557651
480,6.72849e-12,3.03157
481,5.41936e-11,1.48029
482,1.30974e-10,-0.208815
483,3.76763e-12,-0.712198
484,1.4341e-11,-1.48748
485,4.34504e-11,1.42893
486,2.19612e-11,0.374709
487,1.09383e-11,-1.79804
488,3.28545e-12,2.06763
489,7.07788e-12,0.335041
490,2.15572e-11,1.5491
491,7.94497e-11,2.879
492,5.00044e-12,0.436238
493,2.97028e-11,-0.988316
494,1.58381e-12,1.93238
495,3.06751e-12,1.79905
496,7.85371e-12,1.97003
497,2.7422e-11,0.976356
498,1.81005e-11,-1.51949
499,1.11405e-11,-2.96901
500,4.88108e-12,-1.28146
501,2.65234e-11,0.553735
502,2.14314e-11,-0.0495052
503,1.8844e-11,-2.32215
504,1.01829e-11,1.32576
505,1.49683e-11,2.08407
506,1.36521e-11,-1.75033
507,4.74273e-12,-2.96553
508,1.99017e-11,-2.81139
509,7.59439e-12,2.62825
510,7.69815e-12,-1.57588
511,4.10698e-11,1.70986
512,1.53794e-11,-1.23316
513,6.37891e-11,-1.63012
514,8.41545e-11,0.0391248
515,3.18374e-11,2.40235
516,4.41693e-11,2.86066
517,1.9135e-12,-0.045784
518,7.84463e-12,-2.91896
519,1.9556e-11,-1.09179
520,1.30332e-12,-1.17178
521,1.33387e-11,-0.436233
522,6.55802e-12,2.28104
523,4.30729e-12,-1.2428
524,1.86091e-11,-0.240367
525,4.54317e-12,2.84708
526,5.70405e-12,-1.75337
527,1.59865e-11,-1.38786
528,3.89519e-11,-1.59963
529,3.20432e-11,-0.950761
530,1.68176e-11,2.7917
531,1.58353e-11,1.91547
532,7.25249e-12,1.33233
533,4.89629e-12,2.24868
534,7.03162e-11,-2.09567
535,1.82863e-11,0.658151
536,1.52863e-11,3.04461
537,1.11417e-11,-2.56872
538,9.52495e-12,2.11794
539,6.13097e-10,1.66698
540,4.25215e-11,-2.05896
541,1.35663e-11,-2.95388
542,1.02826e-11,0.942236
543,7.68729e-13,1.16698
544,5.24175e-12,0.824765
545,8.74917e-12,-3.13764
546,1.93278e-11,-0.107191
547,1.80422e-11,2.7328
548,1.9523e-11,-2.65127
549,1.10646e-11,2.56124
550,1.40039e-11,2.93267
551,2.43163e-12,-2.35045
552,1.07338e-11,2.18458
553,6.11501e-12,2.403
554,1.4377e-11,-0.982793
555,7.20931e-12,1.67768
556,3.0155e-11,-3.01134
557,7.43849e-12,-2.92032
558,7.65906e-12,0.609311
559,4.51977e-12,1.04258
560,3.30474e-11,-2.5076
561,2.25929e-10,0.756955
562,7.8541e-12,1.40884
563,7.65471e-12,2.38132
564,3.0011e-11,1.21397
565,1.68814e-11,-2.39038
566,1.46201e-11,-1.33908
567,2.75781e-11,-1.61096
568,2.37653e-11,-2.28322
569,1.59573e-11,-1.41753
570,5.43393e-11,0.03399
571,2.1196e-11,-0.0320164
572,9.38978e-11,-2.03651
573,1.03728e-11,-2.96593
574,3.29183e-11,0.629825
575,2.88222e-11,-1.9348
576,4.79525e-11,-0.570402
577,1.62454e-11,-2.54216
578,1.2167e-11,-2.85617
579,3.83271e-11,-0.166338
580,2.33632e-11,2.71793
581,4.16082e-12,1.32065
582,7.29808e-11,-0.584316
583,4.90887e-11,1.30043
584,7.1626e-12,-0.885649
585,9.36812e-11,-0.0392072
586,6.71715e-12,2.79066
587,7.68817e-12,1.3531
588,7.60665e-12,1.84675
589,4.08982e-11,-2.56797
590,1.85844e-11,-2.44107
591,1.15594e-11,1.1834
592,1.6727e-11,1.9157
593,4.41683e-11,-3.08473
594,2.25476e-11,2.77086
595,4.65702e-11,-2.40468
596,6.3712e-11,-0.687821
597,5.88046e-12,-1.83627
598,3.6555e-11,-0.573634
