index,time,amplitude
0,0,1
1,0.01,0.99998
2,0.02,0.999921
3,0.03,0.999822
4,0.04,0.999684
5,0.05,0.999507
6,0.06,0.999289
7,0.07,0.999033
8,0.08,0.998737
9,0.09,0.998402
10,0.1,0.998027
11,0.11,0.997613
12,0.12,0.997159
13,0.13,0.996666
14,0.14,0.996134
15,0.15,0.995562
16,0.16,0.994951
17,0.17,0.994301
18,0.18,0.993611
19,0.19,0.992883
20,0.2,0.992115
21,0.21,0.991308
22,0.22,0.990461
23,0.23,0.989576
24,0.24,0.988652
25,0.25,0.987688
26,0.26,0.986686
27,0.27,0.985645
28,0.28,0.984564
29,0.29,0.983445
30,0.3,0.982287
31,0.31,0.981091
32,0.32,0.979855
33,0.33,0.978581
34,0.34,0.977268
35,0.35,0.975917
36,0.36,0.974527
37,0.37,0.973099
38,0.38,0.971632
39,0.39,0.970127
40,0.4,0.968583
41,0.41,0.967001
42,0.42,0.965382
43,0.43,0.963724
44,0.44,0.962028
45,0.45,0.960294
46,0.46,0.958522
47,0.47,0.956712
48,0.48,0.954865
49,0.49,0.952979
50,0.5,0.951057
51,0.51,0.949096
52,0.52,0.947098
53,0.53,0.945063
54,0.54,0.942991
55,0.55,0.940881
56,0.56,0.938734
57,0.57,0.93655
58,0.58,0.934329
59,0.59,0.932071
60,0.6,0.929776
61,0.61,0.927445
62,0.62,0.925077
63,0.63,0.922673
64,0.64,0.920232
65,0.65,0.917755
66,0.66,0.915241
67,0.67,0.912692
68,0.68,0.910106
69,0.69,0.907484
70,0.7,0.904827
71,0.71,0.902134
72,0.72,0.899405
73,0.73,0.896641
74,0.74,0.893841
75,0.75,0.891007
76,0.76,0.888136
77,0.77,0.885231
78,0.78,0.882291
79,0.79,0.879316
80,0.8,0.876307
81,0.81,0.873262
82,0.82,0.870184
83,0.83,0.867071
84,0.84,0.863923
85,0.85,0.860742
86,0.86,0.857527
87,0.87,0.854277
88,0.88,0.850994
89,0.89,0.847678
90,0.9,0.844328
91,0.91,0.840945
