Frequency,Magnitude,Phase
-496.56,1.76656e-10,1.0367
-496.54,2.13458e-10,0.625782
-496.52,1.67758e-10,-1.20314
-496.5,5.15915e-11,0.963225
-496.48,6.94414e-11,-1.09177
-496.46,1.17638e-10,-0.912217
-496.44,6.40531e-11,0.321606
-496.42,7.73142e-11,-0.295957
-496.4,1.95204e-10,-0.375945
-496.38,9.1366e-11,-0.105154
-496.36,1.14536e-10,3.08231
-496.34,1.7197e-10,0.616901
-496.32,9.29344e-11,-2.84445
-496.3,2.33552e-10,-1.1272
-496.28,5.01836e-10,-3.01932
-496.26,2.50827e-10,-2.47971
-496.24,3.16174e-10,-0.4557
-496.22,2.06615e-10,0.477979
-496.2,6.26956e-10,-2.56151
-496.18,7.75248e-10,-0.869254
-496.16,9.499e-10,1.20513
-496.14,7.71782e-10,2.55274
-496.12,3.56888e-10,-2.30115
-496.1,4.04762e-09,-2.33589
-496.08,9.10842e-11,0.113872
-496.06,1.06191e-09,-2.58332
-496.04,1.67937e-09,-3.00325
-496.02,1.57363e-10,-1.24122
-496,1.15027e-10,-1.30945
-495.98,2.3336e-10,0.501794
-495.96,5.35226e-10,-3.12578
-495.94,2.55068e-10,-1.05344
-495.92,3.2501e-10,0.902196
-495.9,3.80171e-10,-1.74916
-495.88,5.96659e-10,0.73441
-495.86,6.27105e-10,0.993363
-495.84,3.39952e-11,-2.78642
-495.82,7.47948e-10,-2.61933
-495.8,1.27504e-11,-2.43228
-495.78,1.11628e-10,-1.6847
-495.76,2.82467e-10,0.363712
-495.74,4.36258e-11,-0.830333
-495.72,1.04382e-10,-2.14648
-495.7,2.64074e-10,-1.06789
-495.68,9.46967e-11,-2.10495
-495.66,9.9912e-11,-1.35558
-495.64,1.97559e-10,-0.0390196
-495.62,1.3167e-11,-1.67584
-495.6,5.95583e-11,0.750913
-495.58,8.09914e-11,1.24893
-495.56,1.84862e-10,-0.680597
-495.54,1.862e-10,1.50392
-495.52,2.62575e-10,-0.996111
-495.5,2.11308e-09,0.968938
-495.48,9.89514e-11,2.86279
-495.46,2.33263e-10,1.02376
-495.44,1.12466e-08,-2.71052
-495.42,1.11263e-10,-0.964482
-495.4,2.70444e-10,0.793896
-495.38,1.09578e-10,-1.7513
-495.36,1.49927e-10,-0.112341
-495.34,1.24041e-10,-0.37343
-495.32,2.02046e-10,2.47139
-495.3,9.27742e-11,-2.00621
-495.28,1.53844e-10,-1.94621
-495.26,2.93044e-11,-0.118327
-495.24,1.57877e-10,-0.312906
-495.22,8.8992e-11,0.466815
-495.2,1.44356e-10,-2.58337
-495.18,3.20912e-10,-1.1559
-495.16,3.42954e-11,-1.55964
-495.14,3.70658e-10,1.11658
-495.12,2.62513e-10,-1.78063
-495.1,4.02668e-10,-0.183034
-495.08,6.62381e-11,2.8468
-495.06,3.69175e-10,-1.79033
-495.04,1.72269e-11,-1.93446
-495.02,4.69447e-10,-2.14478
-495,1.93849e-10,-0.682889
-494.98,2.68723e-10,-0.242866
-494.96,1.74885e-10,-1.19522
-494.94,1.19273e-10,-0.56188
-494.92,6.67363e-11,0.141561
-494.9,3.81889e-10,0.964272
-494.88,2.38183e-10,-0.933889
-494.86,8.63868e-11,-0.0791129
-494.84,1.79441e-09,2.74088
-494.82,4.56935e-09,2.3813
-494.8,8.99999e-11,1.16975
-494.78,9.82254e-12,1.12977
-494.76,2.14387e-10,0.473368
-494.74,3.14332e-10,-2.55057
-494.72,1.73014e-11,0.0849059
-494.7,2.3033e-09,-1.59803
-494.68,2.19622e-10,-0.97965
-494.66,3.86587e-10,3.1188
-494.64,7.02743e-10,3.00064
-494.62,7.70443e-11,-0.290985
-494.6,1.22505e-10,-0.863741
-494.58,7.84767e-11,-1.76675
-494.56,2.40389e-10,-2.17102
-494.54,9.06916e-11,0.396025
-494.52,1.47365e-10,-1.29745
-494.5,4.88036e-11,-2.29263
-494.48,2.06608e-10,-1.17406
-494.46,1.06083e-10,-1.308
-494.44,1.01436e-10,1.30344
-494.42,3.57987e-11,1.56535
-494.4,1.44675e-10,1.39015
-494.38,1.09059e-10,-0.469339
-494.36,1.93756e-10,-1.18101
-494.34,2.76012e-10,-0.68065
-494.32,3.18139e-10,-0.410813
-494.3,6.31641e-10,0.317228
-494.28,2.02522e-10,0.219134
-494.26,2.74643e-10,0.402781
-494.24,2.07765e-10,2.876
-494.22,1.029e-10,0.658815
-494.2,1.67076e-10,0.21731
