Frequency,Magnitude,Phase
-500,1.94149e-10,0.412921
-499.99,1.65485e-10,3.13831
-499.98,4.38563e-10,1.59002
-499.97,5.03516e-10,-2.56751
-499.96,2.15931e-10,-1.2528
-499.95,1.89174e-10,1.33865
-499.94,8.68434e-11,-2.41067
-499.93,4.64456e-10,2.00032
-499.92,2.02478e-10,-0.338651
-499.91,2.62435e-10,2.11767
-499.9,4.25179e-10,-3.00227
-499.89,1.42225e-10,-0.63501
-499.88,2.95231e-10,2.24352
-499.87,1.70945e-10,-2.7766
-499.86,2.58587e-10,0.553382
-499.85,5.75556e-10,-2.28324
-499.84,3.82244e-10,-3.06636
-499.83,8.87168e-11,1.32463
-499.82,2.19498e-10,-1.73796
-499.81,1.64919e-10,2.14994
-499.8,4.94021e-11,-0.544112
-499.79,2.06143e-10,2.8623
-499.78,2.57639e-10,-1.27031
-499.77,9.72404e-11,1.67
-499.76,2.2471e-10,-1.78876
-499.75,2.23751e-09,1.48521
-499.74,2.98081e-10,0.762883
-499.73,5.30408e-10,-0.749831
-499.72,1.68976e-10,-0.320924
-499.71,1.44924e-10,-1.06496
-499.7,5.26967e-10,1.76564
-499.69,1.81752e-10,-2.2891
-499.68,2.86933e-10,1.91412
-499.67,8.07942e-11,-2.75463
-499.66,2.58085e-10,0.0455639
-499.65,3.76106e-10,2.88068
-499.64,2.49077e-10,1.87064
-499.63,1.02241e-09,-0.394449
-499.62,2.14477e-10,0.659775
-499.61,2.31017e-09,0.948753
-499.6,5.21073e-10,0.981624
-499.59,1.04149e-09,-2.45422
-499.58,1.61083e-10,-0.69654
-499.57,3.11349e-10,-2.17171
-499.56,3.73247e-10,-1.27283
-499.55,3.10789e-10,1.6851
-499.54,2.51422e-10,-1.05904
-499.53,4.30193e-10,0.989692
-499.52,1.94693e-10,1.27452
-499.51,1.77537e-09,-2.52039
-499.5,1.28834e-10,0.155713
-499.49,2.05893e-10,-0.224266
-499.48,4.50165e-10,1.97586
-499.47,6.4933e-10,1.55502
-499.46,1.92262e-09,-1.75265
-499.45,1.33433e-10,0.100773
-499.44,3.64554e-11,-0.209586
-499.43,5.25378e-11,-1.5802
-499.42,1.56119e-10,-1.42062
-499.41,2.7836e-11,-2.55619
-499.4,8.44697e-11,1.63092
-499.39,1.19871e-10,-3.13652
-499.38,9.51559e-11,2.01931
-499.37,3.10009e-10,0.882017
-499.36,1.05664e-10,2.4142
-499.35,9.55282e-11,-0.142926
-499.34,7.16417e-10,-1.4406
-499.33,3.16196e-10,1.02684
-499.32,2.90889e-10,-0.762903
-499.31,7.22961e-11,2.18844
-499.3,6.76553e-11,-1.47525
-499.29,1.35682e-09,1.80143
-499.28,1.45277e-10,2.94398
-499.27,3.13286e-10,-2.86009
-499.26,3.11753e-10,2.77033
-499.25,6.17621e-10,2.19869
-499.24,2.1227e-10,2.29024
-499.23,1.56519e-10,0.939543
-499.22,5.95983e-10,2.61908
-499.21,4.97279e-10,0.934007
-499.2,5.0327e-10,1.55488
-499.19,2.67292e-10,-1.31651
-499.18,1.94771e-10,2.08207
-499.17,4.30483e-11,0.33628
-499.16,2.7399e-10,1.01224
-499.15,1.51458e-10,1.8085
-499.14,6.02559e-10,-0.958432
-499.13,1.19943e-10,0.466951
-499.12,4.97296e-11,0.818074
-499.11,3.62612e-10,0.709296
-499.1,1.81546e-10,1.0567
-499.09,2.21594e-09,-0.036943
-499.08,1.04346e-10,-0.732809
-499.07,9.1449e-11,0.878864
-499.06,1.40072e-10,-0.231156
-499.05,5.62773e-10,-1.10825
-499.04,2.27881e-10,-0.105835
-499.03,2.08239e-10,-1.97941
-499.02,5.36408e-10,3.05575
-499.01,1.04526e-10,0.113165
