index,time,amplitude
0,0,0.722968
1,0.001,0.899313
2,0.002,1.05014
3,0.003,0.87502
4,0.004,1.34945
5,0.005,1.28208
6,0.006,1.17467
7,0.007,1.25251
8,0.008,1.22026
9,0.009,1.21897
10,0.01,0.836052
11,0.011,0.922603
12,0.012,0.833841
13,0.013,0.501892
14,0.014,0.456224
15,0.015,0.122665
16,0.016,0.146627
17,0.017,-0.0187207
18,0.018,0.157231
19,0.019,0.0960008
20,0.02,0.0544468
21,0.021,0.0869343
22,0.022,0.0111045
23,0.023,0.164209
24,0.024,0.334202
25,0.025,0.236812
26,0.026,0.296464
27,0.027,0.34671
28,0.028,0.769043
29,0.029,0.506192
30,0.03,0.762222
31,0.031,0.879404
32,0.032,0.855575
33,0.033,0.725999
34,0.034,0.904344
35,0.035,0.867927
36,0.036,0.713425
37,0.037,0.804387
38,0.038,0.746068
39,0.039,0.389383
40,0.04,0.424909
41,0.041,0.430423
42,0.042,0.375569
43,0.043,0.425798
44,0.044,0.588599
45,0.045,0.585991
46,0.046,0.603919
47,0.047,0.61588
48,0.048,0.504676
49,0.049,0.633348
50,0.05,0.728113
51,0.051,0.623351
52,0.052,0.731822
53,0.053,0.793463
54,0.054,0.796785
55,0.055,0.559325
56,0.056,0.527858
57,0.057,0.49538
58,0.058,0.120295
59,0.059,-0.106671
60,0.06,-0.205319
61,0.061,-0.520882
62,0.062,-0.612541
63,0.063,-0.88239
64,0.064,-1.00209
65,0.065,-1.22936
66,0.066,-1.35813
67,0.067,-1.67286
68,0.068,-1.72991
69,0.069,-1.93832
70,0.07,-1.79454
71,0.071,-1.92288
72,0.072,-1.89478
73,0.073,-2.05127
74,0.074,-1.71737
75,0.075,-1.74439
76,0.076,-1.60069
77,0.077,-1.46046
78,0.078,-1.24862
79,0.079,-1.2874
80,0.08,-1.23037
81,0.081,-1.12274
82,0.082,-0.839847
83,0.083,-0.758947
84,0.084,-0.882611
85,0.085,-0.787002
86,0.086,-0.532053
87,0.087,-0.744962
88,0.088,-0.745582
89,0.089,-0.620834
90,0.09,-0.631467
91,0.091,-0.536789
92,0.092,-0.373785
93,0.093,-0.325516
94,0.094,-0.348418
95,0.095,0.0210757
96,0.096,0.163559
97,0.097,0.0729066
98,0.098,0.410806
99,0.099,0.592287
100,0.1,0.721295
