Frequency,Magnitude,Phase
-498.28,3.62382e-10,-2.84312
-498.27,1.61584e-10,3.10191
-498.26,4.08057e-10,-0.805892
-498.25,2.76206e-10,1.44481
-498.24,3.1516e-10,-1.22913
-498.23,2.56772e-11,3.0854
-498.22,2.71566e-11,1.0452
-498.21,1.65935e-10,2.14835
-498.2,6.32041e-11,2.62496
-498.19,3.1206e-10,-2.20165
-498.18,3.80178e-11,-1.13297
-498.17,3.26183e-10,0.106434
-498.16,1.29333e-10,-0.727845
-498.15,1.80824e-09,0.417736
-498.14,1.79488e-10,-1.36754
-498.13,3.28003e-10,2.63054
-498.12,2.83062e-10,-1.58654
-498.11,8.04871e-11,1.65359
-498.1,5.2576e-11,-2.79679
-498.09,1.96156e-10,1.7043
-498.08,3.18814e-11,1.94331
-498.07,1.08681e-10,-3.05919
-498.06,1.96354e-10,2.21558
-498.05,1.43481e-10,-3.11206
-498.04,7.21488e-10,0.259619
-498.03,3.11356e-11,2.26381
-498.02,2.21088e-10,-0.793816
-498.01,1.23576e-10,-0.830398
-498,1.56515e-10,0.259902
-497.99,3.67635e-10,-0.879828
-497.98,2.26647e-10,-0.786134
-497.97,2.43072e-10,-1.40512
-497.96,6.53764e-11,2.28873
-497.95,3.7942e-10,2.36551
-497.94,2.61368e-10,-1.9727
-497.93,2.59367e-11,0.453302
-497.92,1.05262e-09,-0.45529
-497.91,2.05423e-10,-1.31389
-497.9,1.4874e-10,1.29947
-497.89,1.20098e-10,1.85569
-497.88,6.19208e-11,-0.915112
-497.87,3.3034e-10,0.233074
-497.86,1.22235e-10,2.54806
-497.85,3.17155e-10,-0.39499
-497.84,3.43786e-10,2.18239
-497.83,4.84212e-11,-2.35806
-497.82,3.40429e-10,-1.36473
-497.81,2.01771e-10,2.99655
-497.8,4.81426e-10,-0.806615
-497.79,1.43261e-10,1.25043
-497.78,8.0193e-10,0.282517
-497.77,1.43596e-10,1.56919
-497.76,1.8554e-10,-1.85021
-497.75,8.76336e-10,2.50194
-497.74,5.61029e-10,1.65345
-497.73,2.03903e-11,-1.02555
-497.72,9.60754e-11,2.52783
-497.71,2.22964e-10,-0.341908
-497.7,5.58244e-10,-0.419811
-497.69,1.71273e-10,1.7306
-497.68,3.7364e-10,2.90964
-497.67,5.31736e-10,1.9769
-497.66,1.90821e-10,-1.77631
-497.65,1.03915e-09,1.14976
-497.64,6.87368e-11,1.15968
-497.63,2.87964e-10,-0.404466
-497.62,3.44803e-10,0.819798
-497.61,3.78012e-10,-0.671033
-497.6,5.13295e-10,1.67236
-497.59,1.5814e-10,-2.78245
-497.58,1.00148e-08,1.26282
-497.57,1.20303e-09,-1.08897
-497.56,6.15848e-11,1.66787
-497.55,1.3507e-10,2.8018
-497.54,2.32428e-09,-1.77997
-497.53,3.58307e-10,-2.45442
-497.52,1.48374e-10,-0.224054
-497.51,1.01955e-10,2.38987
-497.5,3.81502e-10,-2.61954
-497.49,3.08994e-10,-0.21141
-497.48,1.42201e-10,-0.0132549
-497.47,2.80349e-10,-2.533
-497.46,4.11419e-10,2.92237
-497.45,8.30056e-11,0.970698
-497.44,9.37277e-11,1.80621
-497.43,1.80807e-10,-0.290961
-497.42,4.89872e-10,-1.54177
-497.41,2.13152e-10,2.9021
-497.4,5.98968e-11,-2.91353
-497.39,1.01134e-10,-0.249658
-497.38,3.16002e-10,0.816073
-497.37,3.15779e-10,-2.45189
-497.36,2.02603e-10,-2.54691
-497.35,3.52123e-10,0.771256
-497.34,1.43626e-10,-3.12878
-497.33,2.94603e-10,0.39652
-497.32,2.73181e-10,0.951433
-497.31,5.11691e-10,2.85402
-497.3,1.70711e-10,0.558141
-497.29,2.68603e-10,1.5351
-497.28,5.47828e-10,2.79058
-497.27,4.16446e-09,1.47968
-497.26,5.58251e-10,-2.06669
-497.25,3.85888e-10,2.03757
-497.24,3.5024e-10,2.23317
-497.23,2.96147e-10,-3.10256
-497.22,9.32566e-10,-1.48238
-497.21,1.2145e-10,0.699223
-497.2,8.922e-10,-2.02696
-497.19,7.73876e-11,2.12747
-497.18,1.02698e-10,-0.384847
-497.17,3.2411e-10,-1.09312
-497.16,3.39711e-10,0.604902
-497.15,9.89615e-10,3.04739
-497.14,4.31579e-11,0.0891419
-497.13,1.62445e-11,0.328089
-497.12,1.5643e-10,2.84582
-497.11,2.96187e-10,0.0617788
-497.1,1.5872e-10,2.54571
-497.09,5.01342e-10,1.83339
-497.08,2.62411e-10,-1.8337
-497.07,1.01384e-09,-0.235755
-497.06,6.36603e-11,-1.66403
-497.05,1.39397e-10,-1.66639
-497.04,2.92347e-10,2.16773
-497.03,2.21797e-10,2.38176
-497.02,6.15289e-11,2.26078
-497.01,2.52008e-10,-0.0370661
-497,5.38609e-11,-0.657793
-496.99,5.26394e-11,-0.964503
-496.98,2.02959e-10,3.07703
-496.97,2.06489e-10,0.408023
-496.96,1.35985e-10,-3.08977
-496.95,7.6382e-10,-1.08127
-496.94,1.56922e-10,-0.931038
-496.93,1.5155e-10,-3.09447
-496.92,5.63558e-11,-2.12151
-496.91,1.47195e-10,1.23208
-496.9,1.92863e-10,-2.72777
-496.89,5.13056e-11,2.33566
-496.88,2.03375e-10,2.4436
-496.87,5.55383e-10,0.503956
-496.86,2.00311e-10,-2.0791
-496.85,6.19376e-11,1.86217
-496.84,8.46975e-11,-2.82719
-496.83,1.22701e-10,0.492035
-496.82,1.97395e-10,-1.41566
-496.81,7.32259e-10,0.588802
-496.8,9.29355e-10,2.70498
-496.79,1.3624e-10,-0.116407
-496.78,6.74098e-10,2.44011
-496.77,9.4329e-11,-1.25192
-496.76,7.22969e-10,1.81392
-496.75,3.01715e-10,1.6035
-496.74,4.05383e-10,2.98483
-496.73,5.43828e-12,-1.68964
-496.72,3.71737e-10,3.08283
-496.71,1.78825e-10,-1.93815
-496.7,2.01568e-10,0.384879
-496.69,2.64895e-10,1.42358
-496.68,2.58144e-10,0.0111711
-496.67,2.19314e-10,-0.55703
-496.66,1.32293e-09,2.04176
-496.65,3.51507e-10,-2.48939
-496.64,4.32761e-10,2.45335
-496.63,6.32672e-10,-2.11248
-496.62,8.58238e-10,1.39876
-496.61,2.5755e-10,2.06795
-496.6,1.80608e-10,-1.90695
-496.59,1.443e-10,-0.344115
-496.58,3.35583e-10,-0.431242
-496.57,3.95744e-10,1.52145
-496.56,1.42354e-09,0.0297538
-496.55,1.35282e-10,-1.88523
-496.54,9.20978e-10,-2.60298
-496.53,1.52305e-10,1.61767
-496.52,1.0301e-09,0.529628
-496.51,5.58387e-11,1.20137
-496.5,1.78525e-10,2.00954
-496.49,6.59842e-10,0.663327
-496.48,6.61052e-11,-2.80415
-496.47,3.85534e-10,-0.849853
-496.46,1.29868e-09,-0.102743
-496.45,2.01508e-10,-2.76704
-496.44,2.86433e-10,-1.13526
-496.43,5.06163e-10,2.91965
-496.42,1.09626e-10,-2.84845
-496.41,1.62054e-10,1.83627
-496.4,3.93259e-10,-2.68603
-496.39,1.64252e-11,-1.7294
-496.38,6.99962e-11,-1.59859
-496.37,5.88505e-09,0.0836563
-496.36,4.09045e-10,-1.84366
-496.35,2.47896e-10,-2.82656
-496.34,2.8348e-10,1.9598
-496.33,3.18149e-10,2.53027
-496.32,2.94537e-10,1.14548
-496.31,1.43503e-09,-2.30139
-496.3,1.61187e-10,-2.03504
